,Year,Predicted,Actual,Error,Country
3,1993,3559978.872180462,3572200,-12221.127819538116,New Zealand
4,1994,3606841.3533834666,3620000,-13158.646616533399,New Zealand
5,1995,3653703.8345864713,3673400,-19696.16541352868,New Zealand
6,1996,3700566.315789476,3732000,-31433.684210523963,New Zealand
7,1997,3747428.7969924808,3781300,-33871.203007519245,New Zealand
8,1998,3794291.2781955004,3815000,-20708.721804499626,New Zealand
9,1999,3841153.759398505,3835100,6053.759398505092,New Zealand
10,2000,3888016.24060151,3857700,30316.24060150981,New Zealand
11,2001,3934878.7218045145,3880500,54378.72180451453,New Zealand
12,2002,3981741.2030075192,3948500,33241.203007519245,New Zealand
13,2003,4028603.684210539,4027200,1403.6842105388641,New Zealand
14,2004,4075466.1654135436,4087500,-12033.834586456418,New Zealand
15,2005,4122328.6466165483,4133900,-11571.3533834517,New Zealand
16,2006,4169191.127819553,4184600,-15408.872180446982,New Zealand
17,2007,4216053.609022558,4223800,-7746.390977442265,New Zealand
18,2008,4262916.090225562,4259800,3116.0902255624533,New Zealand
19,2009,4309778.571428582,4302600,7178.571428582072,New Zealand
20,2010,4356641.052631587,4350700,5941.05263158679,New Zealand
21,2011,4403503.5338345915,4384000,19503.533834591508,New Zealand
22,2012,4450366.015037596,4408100,42266.015037596226,New Zealand
23,2013,4497228.496240601,4442100,55128.49624060094,New Zealand
24,2014,4544090.977443621,4509700,34390.97744362056,New Zealand
25,2015,4590953.458646625,4595700,-4746.54135337472,New Zealand
26,2016,4637815.93984963,4693200,-55384.06015037,New Zealand
27,2017,4684678.421052635,4793900,-109221.57894736528,New Zealand
28,2018,4731540.902255639,4841000,-109459.09774436057,New Zealand
0,1990,149607089.28571427,147969407,1637682.2857142687,Russia
1,1991,149241092.56090224,148394216,846876.5609022379,Russia
2,1992,148875095.8360902,148538197,336898.8360902071,Russia
3,1993,148509099.11127818,148458777,50322.11127817631,Russia
4,1994,148143102.38646615,148407912,-264809.6135338545,Russia
5,1995,147777105.6616541,148375787,-598681.3383458853,Russia
6,1996,147411108.93684208,148160129,-749020.0631579161,Russia
7,1997,147045112.21203005,147915361,-870248.7879699469,Russia
8,1998,146679115.48721802,147670784,-991668.5127819777,Russia
9,1999,146313118.762406,147214776,-901657.2375940084,Russia
10,2000,145947122.03759396,146596869,-649746.9624060392,Russia
11,2001,145581125.31278193,145976482,-395356.68721807003,Russia
12,2002,145215128.5879699,145306497,-91368.41203010082,Russia
13,2003,144849131.86315787,144648618,200513.86315786839,Russia
14,2004,144483135.13834584,144067316,415819.1383458376,Russia
15,2005,144117138.4135338,143518814,598324.4135338068,Russia
16,2006,143751141.68872178,143049637,701504.688721776,Russia
17,2007,143385144.96390975,142805114,580030.9639097452,Russia
18,2008,143019148.2390977,142742366,276782.2390977144,Russia
19,2009,142653151.51428568,142785349,-132197.48571431637,Russia
20,2010,142287154.78947365,142849468,-562313.2105263472,Russia
21,2011,141921158.06466162,142960908,-1039749.935338378,Russia
22,2012,141555161.3398496,143201721,-1646559.6601504087,Russia
23,2013,141189164.61503756,143506995,-2317830.3849624395,Russia
24,2014,140823167.89022553,143819666,-2996498.1097744703,Russia
25,2015,140457171.1654135,144096870,-3639698.834586501,Russia
26,2016,140091174.44060147,144342396,-4251221.559398532,Russia
27,2017,139725177.71578944,144496740,-4771562.284210563,Russia
28,2018,139359180.9909774,144477860,-5118679.0090225935,Russia
0,1990,37796456.600000024,38867322,-1070865.3999999762,Spain
1,1991,38184919.752631545,38966376,-781456.2473684549,Spain
2,1992,38573382.905263186,39157685,-584302.0947368145,Spain
3,1993,38961846.05789471,39361262,-399415.9421052933,Spain
4,1994,39350309.21052635,39549108,-198798.78947365284,Spain
5,1995,39738772.36315787,39724050,14722.363157868385,Spain
6,1996,40127235.51578951,39889852,237383.51578950882,Spain
7,1997,40515698.66842103,40057389,458309.66842103004,Spain
8,1998,40904161.82105267,40223509,680652.8210526705,Spain
9,1999,41292624.97368419,40386875,905749.9736841917,Spain
10,2000,41681088.12631583,40567864,1113224.1263158321,Spain
11,2001,42069551.27894735,40850412,1219139.2789473534,Spain
12,2002,42458014.431578994,41431558,1026456.4315789938,Spain
13,2003,42846477.584210515,42187645,658832.584210515,Spain
14,2004,43234940.736842155,42921895,313045.73684215546,Spain
15,2005,43623403.88947368,43653155,-29751.11052632332,Spain
16,2006,44011867.04210532,44397319,-385451.9578946829,Spain
17,2007,44400330.19473684,45226803,-826472.8052631617,Spain
18,2008,44788793.34736848,45954106,-1165312.6526315212,Spain
19,2009,45177256.5,46362946,-1185689.5,Spain
20,2010,45565719.65263164,46576897,-1011177.3473683596,Spain
21,2011,45954182.80526316,46742697,-788514.1947368383,Spain
22,2012,46342645.9578948,46773055,-430409.0421051979,Spain
23,2013,46731109.11052632,46620045,111064.11052632332,Spain
24,2014,47119572.263157964,46480882,638690.2631579638,Spain
25,2015,47508035.415789485,46444832,1063203.415789485,Spain
26,2016,47896498.568421006,46484062,1412436.5684210062,Spain
27,2017,48284961.72105265,46593236,1691725.7210526466,Spain
28,2018,48673424.87368417,46797754,1875670.8736841679,Spain
0,1990,6757440.971428558,6715519,41921.97142855823,Switzerland
1,1991,6804391.979699239,6799978,4413.979699239135,Switzerland
2,1992,6851342.98796992,6875364,-24021.01203007996,Switzerland
3,1993,6898293.996240586,6938265,-39971.00375941396,Switzerland
4,1994,6945245.004511267,6993795,-48549.99548873305,Switzerland
5,1995,6992196.012781948,7040687,-48490.98721805215,Switzerland
6,1996,7039147.021052629,7071850,-32702.978947371244,Switzerland
7,1997,7086098.029323295,7088906,-2807.970676705241,Switzerland
8,1998,7133049.037593976,7110001,23048.037593975663,Switzerland
9,1999,7180000.045864657,7143991,36009.04586465657,Switzerland
10,2000,7226951.0541353375,7184250,42701.05413533747,Switzerland
11,2001,7273902.0624060035,7229854,44048.062406003475,Switzerland
12,2002,7320853.070676684,7284753,36100.07067668438,Switzerland
13,2003,7367804.078947365,7339001,28803.078947365284,Switzerland
14,2004,7414755.087218031,7389625,25130.087218031287,Switzerland
15,2005,7461706.095488712,7437115,24591.09548871219,Switzerland
16,2006,7508657.103759393,7483934,24723.103759393096,Switzerland
17,2007,7555608.112030074,7551117,4491.112030074,Switzerland
18,2008,7602559.12030074,7647675,-45115.87969926,Switzerland
19,2009,7649510.128571421,7743831,-94320.87142857909,Switzerland
