,Year,Predicted,Actual,Error,Country
10,2000,45367.88983070385,44445.8409485479,922.0488821559484,Spain
11,2001,43821.9602778666,43617.5914255673,204.3688522993034,Spain
12,2002,43611.304049864295,45082.445988298605,-1471.1419384343098,Spain
13,2003,44423.48416053417,43467.596162515,955.8879980191705,Spain
14,2004,44408.50524034743,44651.9069911309,-243.4017507834651,Spain
15,2005,45682.919427786546,45236.39942687241,446.52000091413356,Spain
16,2006,44745.293532845935,45788.234963650895,-1042.94143080496,Spain
17,2007,45078.62631653616,45373.6830770009,-295.0567604647367,Spain
18,2008,44117.539939120776,43368.3664038924,749.1735352283722,Spain
19,2009,44702.22738589205,44714.3099715288,-12.082585636744625,Spain
20,2010,47337.73719908495,43534.7155398996,3803.021659185353,Spain
21,2011,44617.6197711784,45049.551577893304,-431.931806714907,Spain
22,2012,44749.79335153137,40985.5235473301,3764.2698042012707,Spain
23,2013,44340.72089018616,42254.722400681,2085.9984895051603,Spain
24,2014,41459.29271259182,43185.8372780625,-1726.5445654706782,Spain
25,2015,41403.52309615676,39234.4328189085,2169.0902772482586,Spain
26,2016,42596.966445120284,38733.1931159201,3863.7733292001867,Spain
27,2017,44794.74801787163,39192.6094780623,5602.138539809326,Spain
28,2018,43339.2528760602,38182.2650262948,5156.987849765399,Spain
0,1990,57879.64451633027,,,Switzerland
1,1991,57415.05088695452,57348.824889549294,66.22599740522855,Switzerland
2,1992,56650.161577470906,57707.2230393214,-1057.0614618504915,Switzerland
3,1993,57893.78250040014,57451.4900177651,442.2924826350427,Switzerland
4,1994,59151.78244530642,57493.4493373778,1658.3331079286145,Switzerland
5,1995,59483.98680142196,59953.809038371386,-469.82223694942513,Switzerland
6,1996,60057.35664234073,59366.2066097918,691.1500325489324,Switzerland
7,1997,60530.8223675021,63302.7784000065,-2771.9560325044004,Switzerland
8,1998,59113.5679003598,58212.552133268204,901.0157670915942,Switzerland
9,1999,57550.208304547916,58696.665951050185,-1146.4576465022692,Switzerland
10,2000,56857.57744881182,55820.1569175791,1037.4205312327176,Switzerland
11,2001,56684.81217829037,54684.4283163901,2000.3838619002709,Switzerland
12,2002,56279.301081359474,55617.0558462997,662.2452350597741,Switzerland
13,2003,55066.9776099756,56572.51972160349,-1505.5421116278885,Switzerland
14,2004,55425.44198717084,57160.5666051887,-1735.1246180178641,Switzerland
15,2005,56480.49963097026,56475.9190057769,4.580625193360902,Switzerland
16,2006,54691.22755886475,53852.8566780823,838.3708807824514,Switzerland
17,2007,54700.64256499267,53674.2651981627,1026.377366829969,Switzerland
18,2008,52396.37494345755,52940.9044464416,-544.529502984049,Switzerland
19,2009,50758.093305296214,50855.995583472315,-97.90227817610139,Switzerland
20,2010,53182.81908157989,47231.116838380185,5951.702243199703,Switzerland
21,2011,50129.74957908254,53042.2233607854,-2912.473781702858,Switzerland
22,2012,49459.61864389209,49166.90059865781,292.71804523428,Switzerland
23,2013,49042.74480140286,46692.007430883205,2350.7373705196587,Switzerland
24,2014,49250.506325892165,45086.3354841233,4164.170841768864,Switzerland
25,2015,49929.87295780422,43337.555413135095,6592.317544669124,Switzerland
26,2016,50078.31250149331,43336.7554826262,6741.557018867112,Switzerland
27,2017,50679.747476100776,42972.5653420075,7707.182134093273,Switzerland
28,2018,48528.51541879504,42306.8160464575,6221.699372337542,Switzerland
0,1990,44715.09176897635,,,Turkey
1,1991,45032.5000216392,44154.420948084815,878.0790735543851,Turkey
2,1992,45066.28830960989,46133.821039985,-1067.532730375111,Turkey
3,1993,44503.1148420655,46009.7044340782,-1506.5895920127005,Turkey
4,1994,44290.20676047079,43601.0231205789,689.1836398918895,Turkey
5,1995,43324.3250103979,42675.8941129142,648.430897483704,Turkey
6,1996,43592.687836684,43412.8303104671,179.85752621690335,Turkey
7,1997,43816.31802203727,44098.8196665512,-282.50164451393357,Turkey
8,1998,43611.4388588073,43037.266660975496,574.1721978318019,Turkey
9,1999,43905.53483481191,44614.821367455996,-709.2865326440879,Turkey
10,2000,45338.78559639147,44445.8409485479,892.9446478435711,Turkey
11,2001,44224.66066550819,43617.5914255673,607.0692399408945,Turkey
12,2002,44313.79362877475,45082.445988298605,-768.6523595238541,Turkey
13,2003,44768.93233288361,43467.596162515,1301.3361703686096,Turkey
14,2004,44490.29214668525,44651.9069911309,-161.6148444456485,Turkey
15,2005,44873.15573734782,45236.39942687241,-363.2436895245919,Turkey
16,2006,44602.756577337794,45788.234963650895,-1185.4783863131015,Turkey
17,2007,44391.35061315925,45373.6830770009,-982.3324638416452,Turkey
18,2008,44645.11653496122,43368.3664038924,1276.7501310688167,Turkey
19,2009,44693.71869052263,44714.3099715288,-20.591281006163626,Turkey
20,2010,45811.96364696924,43534.7155398996,2277.248107069645,Turkey
21,2011,46095.93597475105,45049.551577893304,1046.3843968577494,Turkey
22,2012,47256.29686422021,40985.5235473301,6270.77331689011,Turkey
23,2013,48381.5670275464,42254.722400681,6126.844626865401,Turkey
24,2014,49335.27811337397,43185.8372780625,6149.44083531147,Turkey
25,2015,50625.270098265864,39234.4328189085,11390.837279357365,Turkey
26,2016,52126.428952486334,38733.1931159201,13393.235836566237,Turkey
27,2017,54431.14560641861,39192.6094780623,15238.53612835631,Turkey
28,2018,55043.20120720898,38182.2650262948,16860.936180914177,Turkey
0,1990,592866.6816339669,,,United States
1,1991,600203.4476683557,601187.186814322,-983.7391459663631,United States
2,1992,604113.1837667857,609266.002027072,-5152.818260286353,United States
3,1993,591589.131566841,593745.973865002,-2156.8422981610056,United States
4,1994,582269.1904572668,579506.686402148,2762.5040551187703,United States
5,1995,583056.8397710252,575774.5995763079,7282.240194717306,United States
6,1996,579396.5987424159,567507.648076862,11888.950665553915,United States
7,1997,572057.4337959182,589137.824656407,-17080.390860488755,United States
8,1998,570347.5660329197,563241.8361239029,7105.729909016751,United States
9,1999,564116.6778624357,568512.201977305,-4395.524114869302,United States
10,2000,561014.1702764616,561651.093852178,-636.923575716326,United States
11,2001,572725.5359286099,568220.055467351,4505.480461258907,United States
12,2002,573289.7817002025,576926.994554245,-3637.212854042533,United States
13,2003,563424.9447372776,561047.845137749,2377.099599528592,United States
14,2004,572293.6770173114,572532.251080021,-238.57406270958018,United States
15,2005,578421.5267008675,573994.49080935,4427.035891517415,United States
16,2006,567008.2423466833,570724.2651755289,-3716.0228288456565,United States
17,2007,565279.9579210931,568390.0545504161,-3110.096629322972,United States
18,2008,555495.0873512784,560205.595545064,-4710.5081937855575,United States
19,2009,551152.0798100462,545682.4676761,5469.61213394627,United States
20,2010,547568.8209645855,495119.48592287896,52449.33504170657,United States
21,2011,545752.8277076575,512864.791680109,32888.036027548485,United States
22,2012,544618.0665206772,470608.13101534103,74009.93550533615,United States
23,2013,536699.7467981064,488503.548419289,48196.19837881735,United States
24,2014,538381.2818094278,478608.945079335,59772.336730092764,United States
25,2015,538098.7727316183,439763.276954655,98335.49577696325,United States
26,2016,540762.5198148137,423199.617230795,117562.90258401877,United States
27,2017,544762.6102377666,399824.29929998296,144938.31093778368,United States
28,2018,551112.4910590652,388803.410059709,162309.08099935623,United States
