,Year,Predicted,Actual,Error,Country
7,1997,203489.839021524,189592.38478130198,13897.454240222025,Russia
8,1998,184283.75150134863,184139.928578628,143.82292272063205,Russia
9,1999,165156.0693634638,166852.830221247,-1696.7608577831998,Russia
10,2000,138161.12626504875,147899.988542876,-9738.862277827255,Russia
11,2001,142502.82517906243,143154.45640279,-651.6312237275706,Russia
12,2002,150292.51807116106,146187.173112956,4105.344958205067,Russia
13,2003,153583.1193068822,148897.932789535,4685.186517347203,Russia
14,2004,146512.78924459987,153779.786128218,-7266.9968836181215,Russia
15,2005,147033.96431324206,152551.96871031,-5518.00439706794,Russia
16,2006,156353.16908448265,151387.139935468,4966.029149014648,Russia
17,2007,158052.56133419264,152110.736923025,5941.824411167647,Russia
18,2008,152833.46166502463,154670.41459658,-1836.9529315553664,Russia
19,2009,148196.3738038781,149918.09852096802,-1721.7247170899354,Russia
20,2010,152555.1750780706,128031.30213517901,24523.872942891598,Russia
21,2011,134348.3176779198,124173.343259354,10174.974418565806,Russia
22,2012,136788.62563307595,129010.353277972,7778.272355103953,Russia
23,2013,132664.81427066756,125638.734500825,7026.0797698425595,Russia
24,2014,125241.91941071354,116001.00183522,9240.917575493542,Russia
25,2015,118138.2803848763,116214.833235329,1923.4471495472972,Russia
26,2016,105687.04223957937,116418.661623165,-10731.619383585625,Russia
27,2017,104767.96108609188,114287.85063346599,-9519.889547374114,Russia
28,2018,107071.89985697164,116875.46812705901,-9803.568270087373,Russia
0,1990,53443.090924451426,,,Spain
1,1991,54546.571800282814,53778.8971016929,767.6746985899154,Spain
2,1992,54526.22410349181,55658.4883217239,-1132.264218232085,Spain
3,1993,54376.51265204969,55396.1356109641,-1019.6229589144059,Spain
4,1994,53578.44918431142,52921.287979927,657.1612043844216,Spain
5,1995,52755.94078731699,51914.232099919805,841.7086873971857,Spain
6,1996,52861.99155579575,52829.745323258496,32.2462325372544,Spain
7,1997,53026.26946758795,53432.351552255706,-406.0820846677598,Spain
8,1998,52981.134075821945,52303.06564804,678.0684277819455,Spain
9,1999,53280.275224852616,53869.0418356946,-588.7666108419871,Spain
10,2000,54685.02337099642,53658.4649415397,1026.5584294567234,Spain
11,2001,53220.820559102445,53080.696615234105,140.12394386834058,Spain
12,2002,53067.68766583597,54601.1167844582,-1533.4291186222326,Spain
13,2003,53901.48806375422,53068.3826327918,833.1054309624233,Spain
14,2004,53941.14010528753,54095.7803444325,-154.64023914497375,Spain
15,2005,55150.57731898659,54698.0839979879,452.4933209986848,Spain
16,2006,54377.08894903448,55414.4149669834,-1037.3260179489225,Spain
17,2007,54722.204667965576,55022.3962805621,-300.19161259652174,Spain
18,2008,53914.70506147745,53159.3401368222,755.3649246552523,Spain
19,2009,54512.64705250826,54524.8294921698,-12.182439661541139,Spain
20,2010,57088.54081044012,53082.113926327096,4006.426884113025,Spain
21,2011,54482.89843357012,54726.721204130496,-243.82277056037856,Spain
22,2012,54451.51904927459,50615.8321260689,3835.6869232056924,Spain
23,2013,53980.837354357405,52037.4156953803,1943.4216589771022,Spain
24,2014,51315.62747471878,52816.491707204405,-1500.8642324856264,Spain
25,2015,51270.147295534254,48877.389945532195,2392.757350002059,Spain
26,2016,52283.160639036556,48412.4992313201,3870.661407716456,Spain
27,2017,54368.84935799937,48725.3116233396,5643.537734659767,Spain
28,2018,52956.563445631895,47873.184779084004,5083.378666547891,Spain
0,1990,71961.21208212341,,,Switzerland
1,1991,71272.24880603951,71184.9250694621,87.32373657741118,Switzerland
2,1992,70330.20864450629,71428.09398498769,-1097.8853404814,Switzerland
3,1993,71653.32461960884,70970.223803815,683.1008157938486,Switzerland
4,1994,72916.5723809413,71276.3777782293,1640.1946027119993,Switzerland
5,1995,73188.36229815279,73788.73764750769,-600.3753493549011,Switzerland
6,1996,73777.83326150803,73120.4834923318,657.3497691762313,Switzerland
7,1997,74451.94967081575,77087.9537831434,-2636.004112327646,Switzerland
8,1998,72923.74036989422,72084.2890533913,839.4513165029202,Switzerland
9,1999,71193.49503003227,72549.44313007849,-1355.9481000462256,Switzerland
10,2000,70419.27720746305,69454.6125407364,964.6646667266468,Switzerland
11,2001,70142.86756186224,68114.6480176375,2028.219544224732,Switzerland
12,2002,69538.96589371347,68934.2633636994,604.7025300140667,Switzerland
13,2003,68091.48098930088,69642.1002836225,-1550.6192943216156,Switzerland
14,2004,68486.51089795999,70017.22356498349,-1530.7126670235011,Switzerland
15,2005,69537.32606474904,69455.1492477193,82.17681702974369,Switzerland
16,2006,67474.46736933276,66624.0304635444,850.4369057883596,Switzerland
17,2007,67261.16714559736,66247.35840878129,1013.8087368160632,Switzerland
18,2008,64579.08389933505,65129.1612350691,-550.0773357340513,Switzerland
19,2009,62623.62514425083,62753.4323863279,-129.80724207706953,Switzerland
20,2010,65028.37942782004,58496.7518846553,6531.627543164737,Switzerland
21,2011,61448.57335615349,64467.3069574303,-3018.7336012768137,Switzerland
